Movie Name,Username,Review,Rating
Reviews ofAgak Laen2024,Anonymous,Nggak ada yang ngasih tau kalau ini film praktik pesugihan,3.5
Reviews ofAgak Laen2024,Anonymous,"THIS IS SO FRESHHHHHH FROM COMEDY HORROR INDONESIA, waktu itu udh lama ga nonton film indonesia krn takut cringe, and this film totally different and UNIQUE, komedinya dapet, horrornya dapet, hikmah dari kisah hidupnya dapet, GOOD JOB🤩",5
Reviews ofAgak Laen2024,Anonymous,"Menurut saya film ini sangat amat lucu, setiap komedinya memiliki keunikan tersendiri. Benar Benar Agak Laen",5
Reviews ofAgak Laen2024,Anonymous,JEGEL MY MAN,
Reviews ofAgak Laen2024,Anonymous,dari awal release udah rewatch sampe 100 kali keknya (lebay),3.5
Reviews ofAgak Laen2024,Anonymous,Agak Laen bah,5
Reviews ofAgak Laen2024,Anonymous,"It was a fun and fresh thing to bring haunted house in a movie. But a few jokes made me uncomfortable, perhaps it was not my cup of tea.",4
Reviews ofAgak Laen2024,Anonymous,ketawa habis habisannn,4
Reviews ofAgak Laen2024,Anonymous,"mmm lucu sih tp ga selucu itu jg soalnya jokesnya bbrp ga masuk di aku, lucuan bloopersnya di akhir. honestly jokes ableistnya ganggu bgt jujur kyk udh 2024 jir (pas rilis) emg msh jaman ya 😬product placementnya jg zzz ganggu bgt",2
Reviews ofAgak Laen2024,Anonymous,"Alur FRESHHH dan gua rasa ini REAL CRIMEEE BROOOO, gmn lu bisa mikir ngegadein sertif tanah nyokap lu, ngubur orang sendiri, ngencingin makam orang, mindahin mayat????🤯🤯🤯 kyk gawaras anjir, ini pake music lucu dan ada komedinya, bayangin kl musiknya jg horror, ini mah udh masuk HORROR JUGA. Ngilu sih nontonnya plus agak mual aja bayanginnya 😵‍💫",3
Reviews ofAgak Laen2024,Anonymous,surprisingly entertaining,4
Reviews ofAgak Laen2024,Anonymous,"Not boring but not much funny too.Marlina is cute and funny ""wiu wiu wiu..."" 🤣No rewatch.",2.5
Reviews ofAgak Laen2024,Anonymous,seru bgt pls i wish i could watch this movie for the first time once again wkwk kocak pokoknya,5
Reviews ofAgak Laen2024,Anonymous,its not some top notch cinema but its sure bring some fresh air to the indo horror genre,3.5
Reviews ofAgak Laen2024,Anonymous,Jokes nya lucu semuaAlur ceritanya juga gak bikin bosen,4.5
Reviews ofAgak Laen2024,Anonymous,Truly deserve being the most watched Indonesian movie in 2024. The movie lives up to its name indeed 😭 the political jokes are top notch lol,4
Reviews ofAgak Laen2024,Anonymous,"gue suka bgt! setiap jokes ga ada yg cringe! always bikin gue ketawa kenceng, worth to watch!",5
Reviews ofAgak Laen2024,Anonymous,Memang agak laen ya 💀,3
Reviews ofAgak Laen2024,Anonymous,"dari film ini aku jadi suka sm Agak Laen, film komedi terbaik selama yg ak tonton",5
Reviews ofAgak Laen2024,Anonymous,BENERAN AGAK LAEN WKWKWKWK SUKAAA,4
Reviews ofAgak Laen2024,Anonymous,Lucuuu bangett dan hangatt,4
Reviews ofAgak Laen2024,Anonymous,"baru sempet nonton ni film, trnyata sebagus itu dan seruu. di tunggu agak Laen 2",5
Reviews ofAgak Laen2024,Anonymous,Deserve all the hype tbh..,4
Reviews ofAgak Laen2024,Anonymous,"I'm waiting for the sequel, lets gooo",4.5
Reviews ofAgak Laen2024,Anonymous,CEKIKIKAN,4
Reviews ofAgak Laen2024,Anonymous,"SERU BGTT,NGAKAK TRS",5
Reviews ofAgak Laen2024,Anonymous,SERU BGT,4.5
Reviews ofAgak Laen2024,Anonymous,Kocyakk,3.5
Reviews ofAgak Laen2024,Anonymous,smoga yg kedua sebagus ini juga,5
Reviews ofAgak Laen2024,Anonymous,kocak,3.5
